"Anno";"Comune";"GEN";"FEB";"MAR";"APR";"MAG";"GIU";"LUG";"AGO";"SET";"OTT";"NOV";"DIC";"Somma annuale";
"2022";"Adria - Bellombra";29;35;40;44;113;77;42;69;88;81;90;50;758;
"2022";"Agna";41;36;140;82;131;87;11;56;99;94;103;39;919;
"2022";"Agordo";58;100;43;166;145;95;79;138;98;148;461;129;1660;
"2022";"Arabba";30;34;55;106;117;105;231;241;84;102;167;62;1334;
"2022";"Arcole";51;33;71;92;121;65;179;63;78;73;69;56;951;
"2022";"Astico a Pedescala";83;163;65;160;0;109;95;94;116;127;72;126;1435;
"2022";"Auronzo";55;61;27;99;138;138;125;170;128;114;127;99;1281;
"2022";"Bagnolo di Po - Pellizzare";35;22;67;49;118;64;51;39;102;72;99;38;756;
"2022";"Barbarano Vicentino";59;32;92;94;158;63;53;75;132;68;68;83;977;
"2022";"Bardolino - Calmasino";59;54;45;500;91;99;69;82;70;88;98;78;1333;
"2022";"Breganze";180;70;43;147;154;140;107;74;94;173;140;79;1401;
"2022";"Brendola";179;41;101;137;178;101;61;62;143;139;173;99;1414;
"2022";"Brustole' (Velo d'Astico)";153;129;200;173;206;111;71;142;153;124;452;136;2050;
"2022";"Buttapietra";49;28;41;96;110;109;102;82;87;64;106;82;956;
"2022";"Campodarsego";84;29;49;98;104;93;42;86;67;98;195;58;1003;
"2022";"Cansiglio - Tramedere";101;197;118;215;255;147;94;176;173;142;638;182;2438;
"2022";"Caprile";37;71;66;98;99;104;102;160;56;128;216;89;1226;
"2022";"Casamazzagno";54;51;55;101;86;126;145;136;94;123;88;76;1135;
"2022";"Castelfranco Veneto";209;27;93;91;68;123;112;53;127;111;102;76;1192;
"2022";"Castelnuovo del Garda";91;50;72;84;91;99;127;105;52;78;86;89;1024;
"2022";"Cavallino Treporti";69;70;64;80;74;57;65;59;101;85;119;33;876;
"2022";"Chioggia - Sant'Anna";29;77;126;32;122;98;115;103;76;97;114;43;1032;
"2022";"Cittadella";145;39;63;142;188;107;29;75;109;103;174;79;1253;
"2022";"Codevigo";44;40;94;67;129;70;75;67;75;76;75;39;851;
"2022";"Col Indes (Tambre)";71;77;97;239;317;157;172;236;211;206;181;154;2118;
"2022";"Concadirame (Rovigo)";43;29;45;48;76;68;44;41;62;70;46;27;599;
"2022";"Conegliano";93;44;149;96;137;118;61;139;74;181;44;104;1240;
"2022";"Cortina d'Ampezzo - Gilardon";52;42;63;107;92;107;103;138;109;105;85;94;1097;
"2022";"Costalta";69;81;34;102;117;142;139;122;108;122;148;67;1251;
"2022";"Crespadoro";198;151;61;325;149;129;111;167;124;196;69;201;1881;
"2022";"Dolce'";55;25;86;104;92;76;50;110;68;83;109;66;924;
"2022";"Domegge di Cadore";40;67;24;113;84;134;131;95;119;124;150;74;1155;
"2022";"Eraclea";53;41;31;77;96;65;59;77;96;107;160;37;899;
"2022";"Faloria";28;27;54;85;58;132;121;185;124;107;88;74;1083;
"2022";"Farra di Soligo";264;57;98;140;178;176;118;85;121;193;204;132;1766;
"2022";"Forno di Zoldo - Campo";43;54;35;165;145;103;91;111;94;142;106;130;1219;
"2022";"Fossalta di Portogruaro";147;40;204;78;116;98;98;85;111;147;160;92;1376;
"2022";"Frassinelle Polesine";34;25;40;65;151;82;69;30;55;76;92;28;747;
"2022";"Gaiarine";90;55;74;102;180;134;90;74;95;142;137;87;1260;
"2022";"Gares";45;48;83;155;163;120;149;149;100;156;228;50;1446;
"2022";"Grantorto";99;25;58;90;115;77;66;96;44;101;204;85;1060;
"2022";"Grezzana";119;29;36;78;171;114;111;73;82;101;104;85;1103;
"2022";"Illasi";134;47;57;100;133;108;137;66;69;88;85;112;1136;
"2022";"Lamon - Sala";97;55;72;145;126;132;112;241;63;114;228;134;1519;
"2022";"Legnaro";45;46;59;60;129;68;27;74;69;102;91;41;811;
"2022";"Longarone";67;30;92;186;135;135;163;130;91;186;170;126;1511;
"2022";"Lugugnana (Portogruaro)";103;68;42;85;96;68;43;71;92;115;56;83;922;
"2022";"Lusiana";135;131;87;178;174;145;104;146;103;206;118;115;1642;
"2022";"Malga Ciapela";26;47;74;136;138;174;162;246;57;141;231;88;1520;
"2022";"Malo";234;65;67;113;174;106;90;102;108;127;137;88;1411;
"2022";"Marano di Valpolicella";99;24;60;112;99;97;51;81;106;95;65;96;985;
"2022";"Maser";165;33;68;91;104;109;150;100;111;115;135;90;1271;
"2022";"Mira";41;39;65;62;54;88;49;49;79;79;121;44;770;
"2022";"Misurina";29;31;53;89;134;164;212;166;122;82;160;67;1309;
"2022";"Molini (Laghi)";120;212;226;230;189;130;76;184;121;233;81;215;2017;
"2022";"Montagnana";31;44;65;83;123;71;44;55;94;86;83;50;829;
"2022";"Monte Avena";56;44;74;154;169;144;139;172;110;133;168;80;1443;
"2022";"Montecchio Precalcino";221;80;98;131;125;77;83;87;100;151;143;105;1401;
"2022";"Montegalda";113;59;54;87;153;77;27;91;146;81;49;66;1003;
